konto_ns_4102;kontonavn_ns_4102;ef_2025;basis;kategori_override;ef_2025_override;basis_override
6907;Internett og annen data- og telekommunikasjon;0,013082473;kgCO2e/NOK;;;
6940;Porto på brev o.l. sendt fra bedriften;0,01596674;kgCO2e/NOK;;;
7001;Drivstoff transportmiddel;0,200421796;kgCO2e/NOK;;;
7001;Drivstoff transportmiddel;0,200421796;kgCO2e/NOK;;;
7001;Drivstoff transportmiddel;;;Bensin;2,32;kgCO2e/liter
7001;Drivstoff transportmiddel;;;Diesel;2,68;kgCO2e/liter
7001;Drivstoff transportmiddel;;;Biodiesel (HVO);0,45;kgCO2e/liter
7021;Vedlikehold transportmiddel;0,01700618;kgCO2e/NOK;;;
7041;Forsikring transportmiddel;0,005718537;kgCO2e/NOK;;;
7051;Annen kostnad transportmiddel;0,023118408;kgCO2e/NOK;;;
7100;Bilgodtgjørelse;0,029062554;kgCO2e/NOK;Personbil (elektrisk);0,00032;kgCO2e/NOK
7100;Bilgodtgjørelse;0,029062554;kgCO2e/NOK;Personbil (bensin);0,02784;kgCO2e/NOK
7100;Bilgodtgjørelse;0,029062554;kgCO2e/NOK;Personbil (diesel);0,02948;kgCO2e/NOK
7100;Bilgodtgjørelse;0,029062554;kgCO2e/NOK;Personbil (hybrid);0,01133;kgCO2e/NOK
7100;Bilgodtgjørelse;;;Elbil;0,015;kgCO2e/km
7100;Bilgodtgjørelse;;;Hybrid (ladbar);0,09;kgCO2e/km
7140;Reisekostnad fra faktura eller kvittering;0,026226933;kgCO2e/NOK;;;
7140;Reisekostnad fra faktura eller kvittering;;;Flyvninger (innland);0,31;kgCO2e/pkm
7140;Reisekostnad fra faktura eller kvittering;;;Hotellovernatting;15;kgCO2e/overnatting
7160;Mat på reise fra faktura eller kvittering;0,025577846;kgCO2e/NOK;;;
7199;Annen kostnadsgodtgjørelse reise, diett, bil o.l.;0,014752805;kgCO2e/NOK;;;
7300;Salgskostnad;0,012095985;kgCO2e/NOK;;;
7321;Reklamekostnad;0,016908767;kgCO2e/NOK;;;
7321;Reklamekostnad;0,01795211;kgCO2e/NOK;;;
7350;Representasjon (bevertning til forretningsforbindelser);0,024889866;kgCO2e/NOK;;;
7400;Kontingent;0,012828348;kgCO2e/NOK;;;
7420;Gave;0,030082082;kgCO2e/NOK;;;
7500;Forsikringspremie;0,006024327;kgCO2e/NOK;;;
7550;Garantikostnad;0,006024327;kgCO2e/NOK;;;
7560;Servicekostnad;0,006024327;kgCO2e/NOK;;;
7600;Lisensavgift;0,014731732;kgCO2e/NOK;;;
7605;Royalties;0,014731732;kgCO2e/NOK;;;
7610;Patentkostnad ved egen patent;0,014731732;kgCO2e/NOK;;;
7620;Kostnad ved varemerke o.l.;0,014731732;kgCO2e/NOK;;;
7630;Kontroll-, prøve- og stempelavgifter;0,014731732;kgCO2e/NOK;;;
7710;Styremøter;0,01674307;kgCO2e/NOK;;;
7720;Generalforsamling;0,01674307;kgCO2e/NOK;;;
7750;Eiendoms- og festeavgift;0,021389381;kgCO2e/NOK;;;
7770;Bank- og kortgebyr;0,005044517;kgCO2e/NOK;;;
7798;Annen kostnad;0,01804937;kgCO2e/NOK;;;
